epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6445,1.05348,1.97481,1.44169,0.56817,0.21739,0.52765,0.35962,1.21753,2.817,2.12446,0.00046,0.00046,0.00046
2,114.557,1.02792,1.62559,1.43613,0.861,0.53934,0.69974,0.42932,1.21597,2.25236,2.07487,0.000921388,0.000921388,0.000921388
3,171.031,1.03704,1.4844,1.42076,0.68992,0.6087,0.68614,0.30213,1.79588,2.56204,2.32755,0.00136377,0.00136377,0.00136377
4,226,1.06304,1.46215,1.43307,0.69955,0.47826,0.60773,0.31567,1.43704,2.37037,2.11473,0.00178714,0.00178714,0.00178714
5,280.473,1.08847,1.35437,1.42751,0.67066,0.69565,0.70574,0.40742,1.3392,2.37634,1.9603,0.0018416,0.0018416,0.0018416
6,335.159,1.06635,1.34457,1.42835,0.68095,0.7425,0.80156,0.46249,1.99016,2.47365,2.2481,0.001802,0.001802,0.001802
7,390.491,1.07558,1.34453,1.43723,1,0.80905,0.90797,0.54028,1.29587,1.44767,1.76803,0.0017624,0.0017624,0.0017624
8,445.993,1.04819,1.23979,1.40043,0.69986,0.82609,0.85054,0.55887,1.52297,1.59402,2.27321,0.0017228,0.0017228,0.0017228
9,506.602,1.03175,1.19385,1.35909,0.68002,0.86957,0.79272,0.57173,1.0418,1.06247,1.51901,0.0016832,0.0016832,0.0016832
10,571.049,1.08999,1.20694,1.46057,0.71445,0.76192,0.73179,0.32295,1.83302,1.98961,2.14677,0.0016436,0.0016436,0.0016436
11,629.594,1.01956,1.11364,1.34745,1,0.73446,0.89295,0.53872,1.75094,1.68437,2.68729,0.001604,0.001604,0.001604
12,689.057,0.96175,1.07319,1.33481,0.98784,0.82609,0.90458,0.57547,1.42753,1.62591,2.00859,0.0015644,0.0015644,0.0015644
13,745.991,0.98662,1.0857,1.34797,0.9044,0.82274,0.85926,0.59355,0.82792,1.26458,1.25865,0.0015248,0.0015248,0.0015248
14,802.633,1.01443,1.10953,1.37127,0.93622,0.73913,0.85169,0.57798,0.97629,1.3177,1.38335,0.0014852,0.0014852,0.0014852
15,859.186,0.95405,1.05271,1.32678,0.89974,0.78044,0.89814,0.59907,1.47588,1.28144,1.8626,0.0014456,0.0014456,0.0014456
16,919.244,0.88793,0.94945,1.28842,0.91416,0.69565,0.85568,0.61736,1.12871,1.4414,1.47233,0.001406,0.001406,0.001406
17,978.026,0.92475,0.97208,1.33212,0.84305,0.73913,0.82845,0.5344,0.90626,0.94472,1.28106,0.0013664,0.0013664,0.0013664
18,1036.86,0.84629,0.90974,1.26318,0.89403,0.78261,0.88584,0.66388,0.8061,1.03954,1.31035,0.0013268,0.0013268,0.0013268
19,1092.33,0.88031,0.87272,1.27444,0.89504,0.78261,0.86572,0.58267,1.26371,0.93594,1.75302,0.0012872,0.0012872,0.0012872
20,1150.41,0.83939,0.84402,1.24868,0.8499,0.73857,0.8258,0.50086,1.32256,0.90221,1.8819,0.0012476,0.0012476,0.0012476
21,1208.35,0.82129,0.85448,1.23865,0.93535,0.82609,0.8845,0.57813,0.96473,0.8901,1.4016,0.001208,0.001208,0.001208
22,1264.73,0.82975,0.82111,1.24197,1,0.76956,0.8671,0.591,1.09878,0.9917,1.41423,0.0011684,0.0011684,0.0011684
23,1321.1,0.79397,0.76671,1.20087,0.8341,0.78261,0.85542,0.57712,1.44556,1.16565,1.74061,0.0011288,0.0011288,0.0011288
24,1377.37,0.79977,0.84504,1.23785,0.84047,0.78261,0.85844,0.53137,1.44356,1.21526,1.75058,0.0010892,0.0010892,0.0010892
25,1433.68,0.80584,0.83627,1.23615,0.93278,0.78261,0.88543,0.62525,0.72348,0.75544,1.1072,0.0010496,0.0010496,0.0010496
26,1490.27,0.8443,0.86208,1.26174,0.93947,0.82609,0.89047,0.62568,0.66907,0.74185,1.10156,0.00101,0.00101,0.00101
27,1546.22,0.75781,0.75221,1.21835,0.90753,0.85392,0.8825,0.45205,1.46019,1.3678,1.7221,0.0009704,0.0009704,0.0009704
28,1602.35,0.80288,0.79679,1.22526,0.95215,0.8654,0.90485,0.50855,1.19826,1.36146,1.54847,0.0009308,0.0009308,0.0009308
29,1658.41,0.77055,0.77084,1.20368,0.84981,0.78261,0.86453,0.57831,0.892,0.81728,1.38861,0.0008912,0.0008912,0.0008912
30,1714.81,0.75124,0.76285,1.20788,0.94733,0.78205,0.88112,0.60252,0.92047,0.74887,1.37201,0.0008516,0.0008516,0.0008516
31,1771.37,0.66823,0.67144,1.13326,1,0.81905,0.90004,0.62601,0.98381,0.80708,1.45185,0.000812,0.000812,0.000812
32,1827.54,0.67359,0.6826,1.1463,0.99296,0.86957,0.91704,0.71396,0.89641,0.74882,1.34465,0.0007724,0.0007724,0.0007724
33,1884.1,0.72082,0.71015,1.17769,0.95214,0.8652,0.91672,0.71509,0.79132,0.65008,1.24192,0.0007328,0.0007328,0.0007328
34,1940.35,0.69417,0.68428,1.16652,0.9933,0.82609,0.89357,0.6701,0.71237,0.57929,1.16615,0.0006932,0.0006932,0.0006932
35,1996.74,0.69571,0.65302,1.13896,0.98508,0.82609,0.89331,0.67968,0.83301,0.77126,1.24268,0.0006536,0.0006536,0.0006536
36,2053.18,0.71576,0.67571,1.19029,0.99174,0.78261,0.91894,0.68533,0.79197,0.68585,1.19841,0.000614,0.000614,0.000614
37,2109.82,0.68641,0.6318,1.14535,0.90426,0.82153,0.92175,0.64687,0.76191,0.59801,1.18579,0.0005744,0.0005744,0.0005744
38,2165.79,0.69577,0.65382,1.1533,0.8331,0.86818,0.8917,0.62791,0.81943,0.64549,1.21411,0.0005348,0.0005348,0.0005348
39,2221.57,0.69206,0.62967,1.1512,0.94855,0.8022,0.92319,0.63767,0.80473,0.58679,1.2019,0.0004952,0.0004952,0.0004952
40,2277.49,0.65062,0.59496,1.11547,0.94982,0.82308,0.89815,0.64838,0.76555,0.56919,1.15735,0.0004556,0.0004556,0.0004556
41,2332.73,0.49239,0.568,1.03948,0.90113,0.82609,0.89138,0.64365,0.69384,0.54923,1.0939,0.000416,0.000416,0.000416
42,2388.13,0.48996,0.5543,1.04623,0.89837,0.82609,0.88267,0.59578,0.64487,0.60509,1.10509,0.0003764,0.0003764,0.0003764
43,2443.29,0.45862,0.51974,1.04049,1,0.82361,0.90829,0.64581,0.62526,0.57029,1.04198,0.0003368,0.0003368,0.0003368
44,2498.58,0.42996,0.47997,1.00967,0.98554,0.78261,0.91177,0.70075,0.63421,0.4805,1.0285,0.0002972,0.0002972,0.0002972
45,2554.35,0.44029,0.46779,1.00117,0.90635,0.91304,0.93857,0.71425,0.61919,0.48369,1.01332,0.0002576,0.0002576,0.0002576
46,2610.08,0.43243,0.4673,0.99724,0.90889,0.86752,0.93717,0.70405,0.60323,0.51911,1.01638,0.000218,0.000218,0.000218
47,2665.95,0.39857,0.44503,0.97895,0.86677,0.86957,0.92515,0.6884,0.58771,0.51032,1.01171,0.0001784,0.0001784,0.0001784
48,2722.01,0.39578,0.43237,0.97212,0.86721,0.91304,0.93157,0.69309,0.61902,0.52999,1.03734,0.0001388,0.0001388,0.0001388
49,2778.03,0.40911,0.43844,1.01044,0.90842,0.8628,0.92362,0.68796,0.62382,0.54977,1.0404,9.92e-05,9.92e-05,9.92e-05
50,2833.44,0.38804,0.43717,0.97684,0.90869,0.86558,0.93585,0.7052,0.60705,0.53671,1.03601,5.96e-05,5.96e-05,5.96e-05
